19,0,0,19
19,29,0,19
19,29,57,19
33,21,14,33
33,43,57,33
33,43,29,33
48,43,29,48
48,43,57,48
48,57,57,48
24,0,0,24
24,36,0,24
24,36,71,24
43,29,29,43
43,50,71,43
43,50,29,43
57,50,29,57
57,50,71,57
57,71,71,57
29,0,0,29
29,43,0,29
29,43,86,29
52,36,29,52
52,64,86,52
52,64,43,52
71,64,43,71
71,64,86,71
71,86,86,71
19,0,0,19
19,29,0,19
19,29,57,19
33,21,14,33
33,43,57,33
33,43,29,33
48,43,29,48
48,43,57,48
48,57,57,48
24,0,0,24
24,36,0,24
24,36,71,24
43,29,29,43
43,50,71,43
43,50,29,43
57,50,29,57
57,50,71,57
57,71,71,57
29,0,0,29
29,43,0,29
29,43,86,29
52,36,29,52
52,64,86,52
52,64,43,52
71,64,43,71
71,64,86,71
71,86,86,71
19,0,0,19
19,29,0,19
19,29,57,19
33,21,14,33
33,43,57,33
33,43,29,33
48,43,29,48
48,43,57,48
48,57,57,48
24,0,0,24
24,36,0,24
24,36,71,24
43,29,29,43
43,50,71,43
43,50,29,43
57,50,29,57
57,50,71,57
57,71,71,57
29,0,0,29
29,43,0,29
29,43,86,29
52,36,29,52
52,64,86,52
52,64,43,52
71,64,43,71
71,64,86,71
71,86,86,71
