19,29,0,0
19,29,57,57
33,21,14,14
33,43,57,57
33,43,29,29
48,43,29,29
48,43,57,57
48,57,57,57
24,0,0,0
24,36,0,0
24,36,71,71
43,29,29,29
43,50,71,71
43,50,29,29
57,50,29,29
57,50,71,71
57,71,71,71
29,0,0,0
29,43,0,0
29,43,86,86
52,36,29,29
52,64,86,86
52,64,43,43
71,64,43,43
71,64,86,86
71,86,86,86
19,0,0,0
19,29,0,0
19,29,57,57
33,21,14,14
33,43,57,57
33,43,29,29
48,43,29,29
48,43,57,57
48,57,57,57
24,0,0,0
24,36,0,0
24,36,71,71
43,29,29,29
43,50,71,71
43,50,29,29
57,50,29,29
57,50,71,71
57,71,71,71
29,0,0,0
29,43,0,0
29,43,86,86
52,36,29,29
52,64,86,86
52,64,43,43
71,64,43,43
71,64,86,86
71,86,86,86
19,0,0,0
19,29,0,0
19,29,57,57
33,21,14,14
33,43,57,57
33,43,29,29
48,43,29,29
48,43,57,57
48,57,57,57
24,0,0,0
24,36,0,0
24,36,71,71
43,29,29,29
43,50,71,71
43,50,29,29
57,50,29,29
57,50,71,71
57,71,71,71
29,0,0,0
29,43,0,0
29,43,86,86
52,36,29,29
52,64,86,86
52,64,43,43
71,64,43,43
71,64,86,86
71,86,86,86
