19,0,0,0
19,29,0,29
19,29,57,29
33,21,14,21
33,43,57,43
33,43,29,43
48,43,29,43
48,43,57,43
48,57,57,57
24,0,0,0
24,36,0,36
24,36,71,36
43,29,29,29
43,50,71,50
43,50,29,50
57,50,29,50
57,50,71,50
57,71,71,71
29,0,0,0
29,43,0,43
29,43,86,43
52,36,29,36
52,64,86,64
52,64,43,64
71,64,43,64
71,64,86,64
71,86,86,86
19,0,0,0
19,29,0,29
19,29,57,29
33,21,14,21
33,43,57,43
33,43,29,43
48,43,29,43
48,43,57,43
48,57,57,57
24,0,0,0
24,36,0,36
24,36,71,36
43,29,29,29
43,50,71,50
43,50,29,50
57,50,29,50
57,50,71,50
57,71,71,71
29,0,0,0
29,43,0,43
29,43,86,43
52,36,29,36
52,64,86,64
52,64,43,64
71,64,43,64
71,64,86,64
71,86,86,86
19,0,0,0
19,29,0,29
19,29,57,29
33,21,14,21
33,43,57,43
33,43,29,43
48,43,29,43
48,43,57,43
48,57,57,57
24,0,0,0
24,36,0,36
24,36,71,36
43,29,29,29
43,50,71,50
43,50,29,50
57,50,29,50
57,50,71,50
57,71,71,71
29,0,0,0
29,43,0,43
29,43,86,43
52,36,29,36
52,64,86,64
52,64,43,64
71,64,43,64
71,64,86,64
71,86,86,86
