257.95,20.61
197.06,10.19
110.54,11.32
141.62,9.7
191.26,8.01
236.79,14.9
300.66,14.03
366.88,23.39
266.42,19.12
316.6,23.24
214.61,14.68
244.97,16.13
333.33,18.74
219.15,12.88
296.15,21.7
331.19,25.73
249.77,10.03
167.53,13.49
315.13,21.56
182.2,13.22
191.27,10.66
317.19,19.48
138.13,12.33
341.75,17.38
110.85,8.82
181.34,10.6
266.58,18.78
151.5,12.57
159.72,10.21
160.94,11.66
325.64,18.23
335.01,18.72
285.34,15.34
336.9,16.38
346.74,19.22
334.22,19.12
206.76,15.1
106.87,11.3
224.52,14.86
160.97,12.24
187.15,12.55
381.42,25.67
224.23,14.14
204.82,18.18
286.33,14.66
331.34,18.34
321.52,21.09
333.93,18.87
302.36,16.93
154.63,12.96
135.15,8.55
330.57,21.56
315.56,17.67
184.42,12.87
332.2,25.69
364.53,18.31
167.45,11.26
185.43,13.42
332.29,16.48
247.81,14.06
311.73,24.82
132.42,8.32
390.73,23.01
296.01,14.86
211.02,13.2
212.2,12.06
391.63,22.83
283.08,19.44
109.49,12.02
265.63,20.79
247.53,13.08
391.41,22.48
208.28,13.73
182.29,10.34
187.92,13.28
192.21,11.9
140.09,10.93
395.02,21.95
360.68,25.98
387.56,24.37
150.89,14.62
179.12,10.83
223.94,10.07
223.3,17.06
300.18,17.58
216.02,10.13
323.95,16.3
205.36,14.83
318.86,24.17
240.51,13.62
168.55,11.56
240.21,14.18
132.58,11.99
365.47,22.4
250.24,14.7
215.91,13.03
271.9,19.19
242.03,14.02
181.13,8.9
186.15,11.03
271.94,19.43
300.78,21.49
264.98,16.74
271.52,19.08
299.59,13.34
166.57,13.63
240.92,13.74
296.84,12.41
287.93,20.66
291.94,16.19
221.88,12.56
311.01,22.47
179.32,8.85
276.92,17.54
254.47,17.29
300.67,16.98
311.29,20.08
241.44,14.1
272.68,15.14
170.92,11.57
339.61,24.9
220.72,13.55
163.35,14.06
279.47,14.75
163.05,13.35
213.65,13.06
171.34,10.34
231.81,10.3
352.91,21.38
223.91,17.01
245.9,13.13
269.71,15.66
257.91,16.51
300.46,15.62
310.53,18.18
210.99,10.29
163.44,14.07
339.22,20.66
348.43,16.67
221.21,17.48
291.64,17.08
358.38,24.89
374.28,23.05
115.51,9.9
168.3,10.45
207.11,16.78
177.89,8.41
355.1,19.34
153.9,12.3
305.43,23.68
269.04,16.04
287.93,15.5
328.43,25.48
387.21,18.99
384.26,23.6
343.05,16.95
293.6,14.23
260.44,21.5
361.63,22.17
161.48,11.15
138.0,8.38
127.19,9.44
222.88,12.43
189.57,11.09
299.05,17.19
349.56,18.11
381.85,22.42
314.8,21.25
331.19,14.41
248.73,14.42
101.91,8.33
264.53,14.4
147.05,9.01
271.48,14.04
280.51,19.82
160.84,14.26
